Date, Site Name , Sponsorpay , Taptica , MC_Saatchi , AdPerio , Yahoo , TapCommerce , Jampp , GrowMobile , Manage ,
1/5/2015,Opentable for Android, $877.00 , $397.00 , $-   ," $15,492.00 ", $345.78 ," $3,323.78 ", $-   , $-   , $-   ,
1/12/2015,Opentable for Android, $996.95 ," $1,425.00 ", $-   ," $26,190.00 ", $259.73 ," $1,643.76 ", $-   , $-   , $-   ,
1/19/2015,Opentable for Android," $1,086.25 "," $1,940.00 ", $-   ," $26,886.00 ", $783.42 , $729.90 , $-   , $-   , $-   ,
1/26/2015,Opentable for Android," $1,035.55 "," $2,572.00 ", $-   ," $28,134.00 ", $231.83 , $140.76 , $-   , $-   , $-   ,
2/2/2015,Opentable for Android, $917.55 ," $6,521.00 ", $-   ," $28,920.00 ", $11.50 , $870.66 , $-   , $-   , $-   ,
2/9/2015,Opentable for Android, $955.55 ," $7,561.00 ", $-   ," $20,000.00 ", $-   ," $1,011.42 ", $-   , $-   , $-   ,
2/16/2015,Opentable for Android, $661.80 ," $8,108.00 ", $-   ," $6,618.00 ", $-   ," $1,302.99 ", $-   , $-   , $-   ,
2/23/2015,Opentable for Android, $300.85 ," $4,045.00 ", $-   ," $1,716.00 ", $-   ," $2,114.10 ", $-   , $-   , $-   ,
3/2/2015,Opentable for Android," $1,321.00 "," $2,346.00 ", $-   , $558.00 , $-   ," $3,073.25 ", $-   , $-   , $-   ,
3/9/2015,Opentable for Android," $1,973.25 "," $8,013.00 ", $-   ," $4,896.00 ", $-   ," $5,617.72 ", $-   , $-   , $-   ,
3/16/2015,Opentable for Android," $1,160.30 "," $7,563.00 ", $-   ," $10,800.00 ", $-   ," $2,590.11 ", $-   , $-   , $-   ,
3/23/2015,Opentable for Android, $236.47 ," $8,811.00 ", $-   ," $7,422.00 ", $-   ," $1,438.91 ", $-   , $-   , $-   ,
3/30/2015,Opentable for Android, $264.65 ," $9,687.00 ", $-   ," $1,128.00 ", $-   ," $2,874.41 ", $-   , $-   , $-   ,
4/6/2015,Opentable for Android, $36.25 ," $3,444.00 ", $-   , $318.00 , $-   ," $2,376.73 ", $-   , $69.00 , $-   ,
4/13/2015,Opentable for Android, $89.50 ," $1,590.00 ", $-   , $-   , $-   ," $2,103.51 ", $-   , $600.00 , $-   ,
